,title,department,location,date_added,link
17,Product Engineer (m/f/d),Hardware,Munich,"Oct 5, 2022",https://jobs.apple.com/en-us/details/200298815/product-engineer-m-f-d?team=HRDWR
18,Cellular Platform Architecture Internship,Hardware,Munich,"Oct 5, 2022",https://jobs.apple.com/en-us/details/200422452/cellular-platform-architecture-internship?team=HRDWR
19,RF Systems Engineer (DSP) (m/f/d),Hardware,Munich,"Oct 4, 2022",https://jobs.apple.com/en-us/details/200430168/rf-systems-engineer-dsp-m-f-d?team=HRDWR
20,RF/Mixed-Signal Test Development Engineer - ATE,Hardware,Munich,"Oct 4, 2022",https://jobs.apple.com/en-us/details/200304429/rf-mixed-signal-test-development-engineer-ate?team=HRDWR
21,"SWE - Cellular Protocol Development Engineer, WTE",Software and Services,Munich,"Sep 30, 2022",https://jobs.apple.com/en-us/details/200237231/swe-cellular-protocol-development-engineer-wte?team=SFTWR
22,"SW Development Automation Engineer, Wireless Technologies & Ecosystems",Software and Services,Munich,"Sep 29, 2022",https://jobs.apple.com/en-us/details/200417383/sw-development-automation-engineer-wireless-technologies-ecosystems?team=SFTWR
23,Analog Design and Validation Engineer (m/f/d),Hardware,Munich,"Sep 28, 2022",https://jobs.apple.com/en-us/details/200389877/analog-design-and-validation-engineer-m-f-d?team=HRDWR
24,"AI/ML- Data Infrastructure Stream Processing Engineer, MLPT",Machine Learning and AI,Berlin,"Sep 27, 2022",https://jobs.apple.com/en-us/details/200429734/ai-ml-data-infrastructure-stream-processing-engineer-mlpt?team=MLAI
25,"Sr Business Development, Germany",Sales and Business Development,Munich,"Sep 27, 2022",https://jobs.apple.com/en-us/details/200401721/sr-business-development-germany?team=SLDEV
26,Silicon Validation Engineer (m/f/d),Hardware,Munich,"Sep 26, 2022",https://jobs.apple.com/en-us/details/200393376/silicon-validation-engineer-m-f-d?team=HRDWR
27,Mixed-Signal Test Development Engineer - ATE,Hardware,Munich,"Sep 26, 2022",https://jobs.apple.com/en-us/details/200427796/mixed-signal-test-development-engineer-ate?team=HRDWR
28,SoC DFT Verification Engineer,Hardware,Munich,"Sep 26, 2022",https://jobs.apple.com/en-us/details/200392240/soc-dft-verification-engineer?team=HRDWR
29,SoC Design-For-Test (DFT) Engineer - New Graduate,Hardware,Munich,"Sep 26, 2022",https://jobs.apple.com/en-us/details/200291182/soc-design-for-test-dft-engineer-new-graduate?team=HRDWR
30,Software Infrastructure Engineer,Software and Services,Munich,"Sep 26, 2022",https://jobs.apple.com/en-us/details/200428795/software-infrastructure-engineer?team=SFTWR
31,SoC Performance Engineer (m/f/d),Hardware,Munich,"Sep 26, 2022",https://jobs.apple.com/en-us/details/200345194/soc-performance-engineer-m-f-d?team=HRDWR
32,SoC DfT Engineer,Hardware,Munich,"Sep 23, 2022",https://jobs.apple.com/en-us/details/200224045/soc-dft-engineer?team=HRDWR
33,Cellular RF Transmitter System Engineer - Digital Signal Processing (m/f/d),Hardware,Munich,"Sep 22, 2022",https://jobs.apple.com/en-us/details/200392657/cellular-rf-transmitter-system-engineer-digital-signal-processing-m-f-d?team=HRDWR
34,Cellular RF Transmitter System Engineer – TX Algorithms Development (m/f/d),Hardware,Munich,"Sep 22, 2022",https://jobs.apple.com/en-us/details/200394169/cellular-rf-transmitter-system-engineer-tx-algorithms-development-m-f-d?team=HRDWR
35,High Speed Logic Design Engineer (m/f/d),Hardware,Munich,"Sep 22, 2022",https://jobs.apple.com/en-us/details/200240428/high-speed-logic-design-engineer-m-f-d?team=HRDWR
36,SoC Performance Validation Engineer (m/f/d),Hardware,Munich,"Sep 22, 2022",https://jobs.apple.com/en-us/details/200374445/soc-performance-validation-engineer-m-f-d?team=HRDWR
